id,latitude,longitude,earliestTime,latestTime,duration,areaType
37_1,32.096181369358,118.784987521702,193,208,3,COMMERCIAL
38_1,32.092564290365,118.784192165799,474,489,3,COMMERCIAL
38_2,32.092564290365,118.784192165799,499,514,3,COMMERCIAL
38_3,32.092564290365,118.784192165799,524,539,3,COMMERCIAL
38_4,32.092564290365,118.784192165799,549,564,3,COMMERCIAL
39_1,32.089474826389,118.784003363716,50,65,3,RESIDENTIAL
39_2,32.089474826389,118.784003363716,75,90,3,RESIDENTIAL
39_3,32.089474826389,118.784003363716,100,115,3,RESIDENTIAL
40_1,32.087144639757,118.783995496962,831,846,3,COMMERCIAL
40_2,32.087144639757,118.783995496962,831,921,3,COMMERCIAL
41_1,32.087044813369,118.775889485678,368,383,3,RESIDENTIAL
41_2,32.087044813369,118.775889485678,392,407,3,RESIDENTIAL
42_1,32.087116699219,118.779844563803,1237,1252,3,COMMERCIAL
42_2,32.087116699219,118.779844563803,1250,1265,3,COMMERCIAL
42_3,32.087116699219,118.779844563803,1263,1278,3,COMMERCIAL
43_1,32.090238444011,118.787086046007,738,753,3,RESIDENTIAL
43_2,32.090238444011,118.787086046007,762,777,3,RESIDENTIAL
46_1,32.095067816841,118.796200086806,169,189,3,COMMERCIAL
47_1,32.077561035157,118.784115397136,518,563,3,COMMERCIAL
47_2,32.077561035157,118.784115397136,562,577,3,COMMERCIAL
47_3,32.077561035157,118.784115397136,545,590,3,COMMERCIAL
48_1,32.083235134549,118.784115939671,868,883,3,COMMERCIAL
48_2,32.083235134549,118.784115939671,861,906,3,COMMERCIAL
48_3,32.083235134549,118.784115939671,868,913,3,COMMERCIAL
48_4,32.083235134549,118.784115939671,891,921,3,COMMERCIAL
49_1,32.083238932292,118.780158148872,1093,1123,3,RESIDENTIAL
49_2,32.083238932292,118.780158148872,1118,1133,3,RESIDENTIAL
50_1,32.08085124,118.776128472223,50,350,3,RESIDENTIAL
50_2,32.08085124,118.776128472223,110,140,3,RESIDENTIAL
51_1,32.077356770834,118.772612575955,1174,1189,3,COMMERCIAL
51_2,32.077356770834,118.772612575955,1199,1214,3,COMMERCIAL
51_3,32.077356770834,118.772612575955,1225,1240,3,COMMERCIAL
52_1,32.069111056858,118.776392415365,62,77,3,COMMERCIAL
52_2,32.069111056858,118.776392415365,87,102,3,COMMERCIAL
53_1,32.069318576389,118.784165581598,181,196,9,COMMERCIAL
53_2,32.069318576389,118.784165581598,205,220,3,COMMERCIAL
53_3,32.069318576389,118.784165581598,158,233,3,COMMERCIAL
54_1,32.067573513455,118.780386013455,256,361,6,COMMERCIAL
54_2,32.067573513455,118.780386013455,299,314,3,COMMERCIAL
55_1,32.064685329862,118.780457085504,417,432,3,COMMERCIAL
56_1,32.064729546441,118.784070095487,486,501,3,COMMERCIAL
56_2,32.064729546441,118.784070095487,511,526,3,COMMERCIAL
57_1,32.058829481337,118.784069552952,377,407,3,RESIDENTIAL
57_2,32.058829481337,118.784069552952,378,438,6,RESIDENTIAL
57_3,32.058829481337,118.784069552952,415,445,3,RESIDENTIAL
58_1,32.058303222657,118.787111545139,631,646,3,COMMERCIAL
58_2,32.058303222657,118.787111545139,656,671,3,COMMERCIAL
59_1,32.062683648004,118.784069824219,750,765,3,COMMERCIAL
59_2,32.062683648004,118.784069824219,774,789,3,COMMERCIAL
60_1,32.0646403,118.777414550782,772,802,3,RESIDENTIAL
64_1,32.059131130643,118.774574924046,990,1395,6,RESIDENTIAL
64_2,32.059131130643,118.774574924046,1084,1114,3,RESIDENTIAL
65_1,32.056715223525,118.797888997396,841,871,3,COMMERCIAL
66_1,32.088720160591,118.809446885851,262,277,3,INDUSTRIAL
66_2,32.088720160591,118.809446885851,324,339,3,INDUSTRIAL
67_1,32.084557291667,118.80929796007,619,649,3,INDUSTRIAL
67_2,32.084557291667,118.80929796007,669,699,3,INDUSTRIAL
67_3,32.084557291667,118.80929796007,664,709,3,INDUSTRIAL
68_1,32.085436197917,118.816867675782,968,998,3,INDUSTRIAL
68_2,32.085436197917,118.816867675782,963,1023,3,INDUSTRIAL
69_1,32.093884006077,118.831560872396,1307,1367,3,INDUSTRIAL
70_1,32.09893717,118.832748209636,154,499,3,INDUSTRIAL
70_2,32.09893717,118.832748209636,311,326,3,INDUSTRIAL
71_1,32.099260796441,118.818798556858,644,659,3,INDUSTRIAL
71_2,32.099260796441,118.818798556858,669,684,3,INDUSTRIAL
72_1,32.094801432292,118.818056098091,950,965,3,INDUSTRIAL
73_1,32.105014648438,118.834159071181,950,1025,3,COMMERCIAL
73_2,32.105014648438,118.834159071181,942,1032,3,COMMERCIAL
73_3,32.105014648438,118.834159071181,1012,1027,3,COMMERCIAL
74_1,32.103710394966,118.819152560764,1056,1086,3,COMMERCIAL
74_2,32.103710394966,118.819152560764,1080,1095,3,COMMERCIAL
75_1,32.102584092882,118.810128309462,1162,1207,3,COMMERCIAL
75_2,32.102584092882,118.810128309462,1179,1224,3,COMMERCIAL
75_3,32.102584092882,118.810128309462,1115,1325,3,COMMERCIAL
79_1,32.057165798612,118.808388400608,1319,1334,3,COMMERCIAL
79_2,32.057165798612,118.808388400608,1328,1358,3,COMMERCIAL
84_1,32.074879557292,118.827149793837,1011,1506,3,RESIDENTIAL
